# =============================================================================
# HexMaps target_definitions.txt
# =============================================================================
# Comma-separated table of target parameters.
# Spaces and tabs around each comma are ignored; so feel free to align
# columns with extra whitespace for readability.
# All targets that may ever be used should be listed here.
# The targets actually processed are defined in config.txt [sources].
#
# Columns (comma-separated; no header row):
# [required]
#   target       - target name (must match the FITS filename prefix)
#   x_ctr        - x-coordinate of target centre (e.g. RA in degrees; read from FITS header of overlay file)
#   y_ctr        - y-coordinate of target centre (e.g. Dec in degrees; read from FITS header of overlay file)
#   dist_mpc     - Distance (Mpc)
#   e_dist_mpc   - Uncertainty of distance (Mpc)
# [optional]
#   incl_deg     - Inclination (degrees)
#   e_incl_deg   - Uncertainty of inclination (degrees)
#   posang_deg   - Position angle (degrees; East of North)
#   e_posang_deg - Uncertainty of position angle (degrees)
#   r25          - Optical radius r25 (arcmin)
#   e_r25        - Uncertainty of r25 (arcmin)
# =============================================================================
# target,       x_ctr,      y_ctr,      dist_mpc,   e_dist_mpc,   incl_deg,   e_incl_deg,   posang_deg,   e_posang_deg,   r25,     e_r25
ngc3031,        148.8882,   69.0653,    3.69,       0.20,         59.0,       5.0,          330.0,        10.0,           10.81,   2.80
ngc3059,        147.5340,   -73.9222,   20.23,      3.68,         29.4,       11.0,         -14.8,        2.9,            1.90,    0.49
ngc3137,        152.2812,   -29.0643,   16.37,      2.19,         70.3,       1.2,          -0.3,         0.5,            2.77,    0.72
ngc3184,        154.5706,   41.4243,    12.58,      1.62,         16.0,       5.0,          179.0,        10.0,           3.70,    0.96
ngc3239,        156.2703,   17.1637,    10.86,      1.00,         60.3,       5.0,          72.9,         10.0,           1.81,    0.47
ngc3344,        160.8798,   24.9223,    9.83,       1.20,         27.0,       5.0,          142.7,        10.0,           3.35,    0.87
ngc3351,        160.9906,   11.7037,    9.96,       0.32,         45.1,       6.0,          193.2,        2.0,            3.61,    0.94
ngc3368,        161.6904,   11.8199,    11.21,      0.49,         51.1,       5.0,          4.6,          10.0,           4.13,    1.07
ngc3489,        165.0774,   13.9012,    11.86,      1.53,         63.7,       5.0,          70.0,         10.0,           1.72,    0.45
ngc3507,        165.8557,   18.1355,    23.55,      3.69,         21.7,       11.3,         55.8,         1.3,            1.46,    0.38
ngc3511,        165.8492,   -23.0867,   13.94,      1.96,         75.1,       2.2,          256.8,        0.8,            3.02,    0.78
ngc3521,        166.4524,   -0.0359,    13.24,      1.83,         68.8,       0.3,          343.0,        0.6,            4.16,    1.08
ngc3556,        167.8789,   55.6743,    9.55,       1.32,         67.5,       5.0,          79.0,         10.0,           1.99,    0.52
ngc3596,        168.7758,   14.7871,    11.30,      0.99,         25.1,       11.0,         78.4,         1.0,            1.82,    0.47
ngc3599,        168.8623,   18.1104,    19.86,      2.56,         23.0,       5.0,          41.9,         10.0,           1.20,    0.31
ngc3621,        169.5679,   -32.8126,   7.06,       0.28,         65.8,       1.8,          343.8,        0.3,            4.77,    1.24
